Shots: 50000
learning_rate, perturbation = SPSA.calibrate(
        loss=lambda x: calculate_cost_function_sampling(x, shots, coefficient_set_2, gate_set_2, cost_history_cal),
        initial_point=x0,
        # target_magnitude=0.2,     # recommended for 1024 shots
        # c=0.15
    )
0.270167 (Num: 0.359774 / Denom: 0.492954)
0.236672 (Num: 0.337276 / Denom: 0.441849)
0.267876 (Num: 0.381219 / Denom: 0.520703)
0.288335 (Num: 0.249375 / Denom: 0.350411)
0.230581 (Num: 0.345867 / Denom: 0.449517)
0.272292 (Num: 0.401581 / Denom: 0.551843)
0.269292 (Num: 0.272563 / Denom: 0.373012)
0.232777 (Num: 0.342429 / Denom: 0.446322)
0.303611 (Num: 0.355004 / Denom: 0.509778)
0.287340 (Num: 0.297445 / Denom: 0.417374)
0.239225 (Num: 0.339672 / Denom: 0.446481)
0.239038 (Num: 0.358252 / Denom: 0.470788)
0.257256 (Num: 0.308027 / Denom: 0.414714)
0.237325 (Num: 0.341104 / Denom: 0.447246)
0.247583 (Num: 0.341153 / Denom: 0.453410)
0.238023 (Num: 0.345047 / Denom: 0.452831)
0.221981 (Num: 0.344383 / Denom: 0.442641)
0.225240 (Num: 0.339528 / Denom: 0.438237)
0.259506 (Num: 0.332587 / Denom: 0.449142)
0.226949 (Num: 0.343692 / Denom: 0.444592)
0.249354 (Num: 0.377291 / Denom: 0.502622)
0.263863 (Num: 0.290572 / Denom: 0.394725)
0.224799 (Num: 0.348764 / Denom: 0.449901)
0.245255 (Num: 0.298018 / Denom: 0.394859)
0.283841 (Num: 0.359216 / Denom: 0.501587)
0.221108 (Num: 0.343928 / Denom: 0.441561)
0.271915 (Num: 0.327760 / Denom: 0.450167)
0.260003 (Num: 0.328970 / Denom: 0.444556)
0.228931 (Num: 0.340987 / Denom: 0.442226)
0.226778 (Num: 0.336943 / Denom: 0.435765)
0.235120 (Num: 0.338292 / Denom: 0.442281)
0.218255 (Num: 0.342659 / Denom: 0.438326)
0.253021 (Num: 0.368115 / Denom: 0.492806)
0.282235 (Num: 0.287706 / Denom: 0.400835)
0.224812 (Num: 0.345643 / Denom: 0.445883)
0.278378 (Num: 0.346873 / Denom: 0.480686)
0.278472 (Num: 0.297808 / Denom: 0.412746)
0.220484 (Num: 0.346701 / Denom: 0.444765)
0.254489 (Num: 0.396326 / Denom: 0.531616)
0.250944 (Num: 0.285206 / Denom: 0.380754)
0.224902 (Num: 0.345992 / Denom: 0.446385)
0.258601 (Num: 0.339472 / Denom: 0.457881)
0.229959 (Num: 0.329246 / Denom: 0.427569)
0.231781 (Num: 0.342538 / Denom: 0.445886)
0.266159 (Num: 0.273937 / Denom: 0.373293)
0.272033 (Num: 0.431795 / Denom: 0.593152)
0.229570 (Num: 0.341697 / Denom: 0.443514)
0.296907 (Num: 0.321184 / Denom: 0.456815)
0.241364 (Num: 0.328223 / Denom: 0.432650)
0.229093 (Num: 0.342228 / Denom: 0.443930)
0.265461 (Num: 0.341909 / Denom: 0.465474)
0.247202 (Num: 0.336433 / Denom: 0.446910)
0.227989 (Num: 0.340588 / Denom: 0.441170)
0.235513 (Num: 0.346178 / Denom: 0.452824)
0.230130 (Num: 0.328823 / Denom: 0.427115)
0.224492 (Num: 0.338918 / Denom: 0.437027)
0.248216 (Num: 0.358045 / Denom: 0.476260)
0.238136 (Num: 0.331035 / Denom: 0.434507)
0.229939 (Num: 0.340426 / Denom: 0.442077)
0.256521 (Num: 0.406640 / Denom: 0.546942)
0.262167 (Num: 0.265727 / Denom: 0.360146)
0.216819 (Num: 0.345018 / Denom: 0.440534)
0.237309 (Num: 0.351982 / Denom: 0.461500)
0.253975 (Num: 0.302243 / Denom: 0.405138)
0.224786 (Num: 0.343365 / Denom: 0.442929)
0.222599 (Num: 0.355069 / Denom: 0.456738)
0.239198 (Num: 0.304501 / Denom: 0.400238)
0.221869 (Num: 0.345409 / Denom: 0.443896)
0.250547 (Num: 0.352141 / Denom: 0.469864)
0.226023 (Num: 0.322486 / Denom: 0.416661)
0.224914 (Num: 0.343842 / Denom: 0.443618)
0.225249 (Num: 0.317637 / Denom: 0.409986)
0.267935 (Num: 0.355723 / Denom: 0.485918)
0.215877 (Num: 0.340929 / Denom: 0.434790)
0.281726 (Num: 0.332173 / Denom: 0.462460)
0.266240 (Num: 0.328150 / Denom: 0.447218)
0.218094 (Num: 0.340025 / Denom: 0.434867)
0.253776 (Num: 0.299471 / Denom: 0.401315)
0.241710 (Num: 0.367433 / Denom: 0.484554)
0.215934 (Num: 0.343588 / Denom: 0.438213)
0.237195 (Num: 0.330282 / Denom: 0.432983)
0.227243 (Num: 0.359246 / Denom: 0.464889)
0.219246 (Num: 0.343351 / Denom: 0.439768)
0.253702 (Num: 0.264787 / Denom: 0.354801)
0.256211 (Num: 0.412179 / Denom: 0.554162)
0.225366 (Num: 0.343483 / Denom: 0.443414)
0.269012 (Num: 0.278604 / Denom: 0.381134)
0.273403 (Num: 0.380305 / Denom: 0.523406)
0.218731 (Num: 0.339981 / Denom: 0.435165)
0.256497 (Num: 0.360517 / Denom: 0.484890)
0.226125 (Num: 0.292539 / Denom: 0.378018)
0.215897 (Num: 0.338278 / Denom: 0.431421)
0.235498 (Num: 0.338739 / Denom: 0.443085)
0.277806 (Num: 0.324099 / Denom: 0.448770)
0.213997 (Num: 0.337300 / Denom: 0.429134)
0.245390 (Num: 0.384936 / Denom: 0.510112)
0.252363 (Num: 0.257356 / Denom: 0.344226)
0.216614 (Num: 0.339744 / Denom: 0.433686)
0.235267 (Num: 0.326952 / Denom: 0.427538)
0.224853 (Num: 0.336414 / Denom: 0.434001)
0.213059 (Num: 0.341052 / Denom: 0.433389)
0.232535 (Num: 0.315636 / Denom: 0.411270)
0.237286 (Num: 0.361526 / Denom: 0.473999)
0.217104 (Num: 0.338417 / Denom: 0.432263)
0.247937 (Num: 0.407953 / Denom: 0.542445)
0.223633 (Num: 0.280635 / Denom: 0.361473)
0.217358 (Num: 0.333612 / Denom: 0.426263)
0.247164 (Num: 0.366783 / Denom: 0.487202)
0.240342 (Num: 0.269308 / Denom: 0.354513)
0.214604 (Num: 0.333419 / Denom: 0.424523)
0.229953 (Num: 0.331490 / Denom: 0.430480)
0.220083 (Num: 0.340377 / Denom: 0.436427)
0.211818 (Num: 0.333695 / Denom: 0.423374)
0.254851 (Num: 0.262532 / Denom: 0.352322)
0.233834 (Num: 0.385250 / Denom: 0.502828)
0.217166 (Num: 0.336882 / Denom: 0.430336)
0.263660 (Num: 0.382513 / Denom: 0.519479)
0.257942 (Num: 0.294718 / Denom: 0.397163)
0.216778 (Num: 0.334265 / Denom: 0.426782)
0.256069 (Num: 0.322936 / Denom: 0.434094)
0.225173 (Num: 0.320235 / Denom: 0.413298)
0.217508 (Num: 0.333848 / Denom: 0.426647)
0.242852 (Num: 0.364043 / Denom: 0.480808)
0.235190 (Num: 0.285432 / Denom: 0.373206)
0.214348 (Num: 0.334536 / Denom: 0.425807)
0.293254 (Num: 0.282539 / Denom: 0.399774)
0.314070 (Num: 0.359429 / Denom: 0.524003)
0.215406 (Num: 0.332455 / Denom: 0.423729)
0.223289 (Num: 0.317867 / Denom: 0.409247)
0.234601 (Num: 0.328451 / Denom: 0.429124)
0.220192 (Num: 0.329598 / Denom: 0.422666)
0.247525 (Num: 0.329686 / Denom: 0.438136)
0.256957 (Num: 0.322020 / Denom: 0.433379)
0.218899 (Num: 0.330045 / Denom: 0.422538)
0.266670 (Num: 0.251814 / Denom: 0.343384)
0.252385 (Num: 0.398433 / Denom: 0.532938)
0.221354 (Num: 0.335055 / Denom: 0.430305)
0.222779 (Num: 0.321847 / Denom: 0.414100)
0.216297 (Num: 0.340592 / Denom: 0.434594)
0.222313 (Num: 0.332696 / Denom: 0.427802)
0.263337 (Num: 0.369526 / Denom: 0.501621)
0.228958 (Num: 0.272436 / Denom: 0.353334)
0.206960 (Num: 0.330267 / Denom: 0.416457)
0.233222 (Num: 0.326824 / Denom: 0.426230)
0.232661 (Num: 0.314505 / Denom: 0.409864)
0.205728 (Num: 0.330238 / Denom: 0.415775)
0.246351 (Num: 0.326504 / Denom: 0.433230)
0.232091 (Num: 0.320606 / Denom: 0.417506)
0.214077 (Num: 0.329921 / Denom: 0.419788)
0.272367 (Num: 0.356074 / Denom: 0.489359)
0.281920 (Num: 0.280545 / Denom: 0.390688)
0.207553 (Num: 0.334390 / Denom: 0.421972)
0.246484 (Num: 0.326117 / Denom: 0.432794)
0.232582 (Num: 0.320729 / Denom: 0.417933)
0.216811 (Num: 0.330238 / Denom: 0.421658)
0.220674 (Num: 0.330694 / Denom: 0.424334)
0.238743 (Num: 0.317127 / Denom: 0.416584)
0.216655 (Num: 0.330238 / Denom: 0.421574)
0.255390 (Num: 0.383484 / Denom: 0.515013)
0.248113 (Num: 0.262325 / Denom: 0.348890)
0.203960 (Num: 0.329914 / Denom: 0.414443)
0.276268 (Num: 0.338628 / Denom: 0.467891)
0.236296 (Num: 0.299332 / Denom: 0.391948)
0.201365 (Num: 0.329519 / Denom: 0.412602)
0.264562 (Num: 0.324342 / Denom: 0.441018)
0.234657 (Num: 0.304223 / Denom: 0.397499)
0.202738 (Num: 0.326417 / Denom: 0.409422)
0.254997 (Num: 0.330938 / Denom: 0.444210)
0.234130 (Num: 0.300289 / Denom: 0.392090)
0.205920 (Num: 0.326703 / Denom: 0.411424)
0.256448 (Num: 0.340114 / Denom: 0.457418)
0.230298 (Num: 0.290232 / Denom: 0.377070)
0.220076 (Num: 0.319430 / Denom: 0.409566)
0.244623 (Num: 0.334433 / Denom: 0.442737)
0.226585 (Num: 0.304670 / Denom: 0.393928)
0.214305 (Num: 0.322326 / Denom: 0.410243)
0.263431 (Num: 0.283466 / Denom: 0.384846)
0.290646 (Num: 0.325981 / Denom: 0.459546)
0.203063 (Num: 0.320385 / Denom: 0.402021)
0.234502 (Num: 0.305949 / Denom: 0.399674)
0.223185 (Num: 0.319177 / Denom: 0.410879)
0.200491 (Num: 0.323785 / Denom: 0.404980)
0.279004 (Num: 0.241725 / Denom: 0.335265)
0.246169 (Num: 0.364699 / Denom: 0.483794)
0.210156 (Num: 0.326324 / Denom: 0.413150)
0.226791 (Num: 0.334191 / Denom: 0.432213)
0.211770 (Num: 0.308843 / Denom: 0.391818)
0.207296 (Num: 0.329771 / Denom: 0.416008)
0.203332 (Num: 0.281599 / Denom: 0.353471)
0.259352 (Num: 0.341205 / Denom: 0.460684)
0.204718 (Num: 0.322285 / Denom: 0.405246)
0.218357 (Num: 0.323958 / Denom: 0.414458)
0.235434 (Num: 0.304364 / Denom: 0.398087)
0.220078 (Num: 0.319080 / Denom: 0.409118)
0.214729 (Num: 0.261042 / Denom: 0.332423)
0.234649 (Num: 0.392757 / Denom: 0.513172)
0.209044 (Num: 0.315454 / Denom: 0.398826)
0.221861 (Num: 0.345383 / Denom: 0.443858)
0.213094 (Num: 0.268566 / Denom: 0.341294)
0.197703 (Num: 0.318489 / Denom: 0.396971)
0.243490 (Num: 0.337442 / Denom: 0.446051)
0.193874 (Num: 0.272076 / Denom: 0.337511)
0.202573 (Num: 0.312249 / Denom: 0.391571)
0.245557 (Num: 0.381023 / Denom: 0.505038)
0.253502 (Num: 0.231740 / Denom: 0.310437)
0.191750 (Num: 0.315733 / Denom: 0.390638)
0.215165 (Num: 0.310954 / Denom: 0.396203)
0.200274 (Num: 0.311969 / Denom: 0.390095)
0.205132 (Num: 0.312733 / Denom: 0.393441)
0.245608 (Num: 0.386075 / Denom: 0.511770)
0.262745 (Num: 0.231838 / Denom: 0.314462)
0.203863 (Num: 0.318287 / Denom: 0.399789)
